   Time:s   IReque   IAccep   IBlock   IRelea    #Actv   TReque   TAccep   TBlock   TRelea
  175.000        2        0        2        0        0      478        0      478        0
  176.000        0        0        0        0        0      478        0      478        0
  177.000       11        0       11        0        0      489        0      489        0
  178.000        5        0        5        0        0      494        0      494        0
  179.000        6        0        6        0        0      500        0      500        0
  180.000        2        0        2        0        0      502        0      502        0
  181.000        0        0        0        0        0      502        0      502        0
  182.000        4        0        4        0        0      506        0      506        0
  183.000        8        0        8        0        0      514        0      514        0
  184.000        0        0        0        0        0      514        0      514        0
  185.000       15        0       15        0        0      529        0      529        0
  186.000        4        0        4        0        0      533        0      533        0
  187.000       10        0       10        0        0      543        0      543        0
  188.000        9        0        9        0        0      552        0      552        0
  189.000        4        0        4        0        0      556        0      556        0
  190.000        9        0        9        0        0      565        0      565        0
  191.000       17        0       17        0        0      582        0      582        0
  192.000        0        0        0        0        0      582        0      582        0
  193.000        0        0        0        0        0      582        0      582        0
  194.000        0        0        0        0        0      582        0      582        0
  195.000        1        0        1        0        0      583        0      583        0
  196.000        5        0        5        0        0      588        0      588        0
  197.000        9        0        9        0        0      597        0      597        0
  198.000        8        0        8        0        0      605        0      605        0
  199.000        3        0        3        0        0      608        0      608        0
  200.000        2        0        2        0        0      610        0      610        0
  201.000        0        0        0        0        0      610        0      610        0
  202.000        8        0        8        0        0      618        0      618        0
  203.000        1        0        1        0        0      619        0      619        0
  204.000        0        0        0        0        0      619        0      619        0
  205.000        0        0        0        0        0      619        0      619        0
  206.000        0        0        0        0        0      619        0      619        0
  207.000        0        0        0        0        0      619        0      619        0
  208.000        0        0        0        0        0      619        0      619        0
  209.000        0        0        0        0        0      619        0      619        0
  210.000        6        0        6        0        0      625        0      625        0
  211.000        3        0        3        0        0      628        0      628        0
  212.000        8        0        8        0        0      636        0      636        0
  213.000        2        0        2        0        0      638        0      638        0
  214.000        0        0        0        0        0      638        0      638        0
  215.000        1        0        1        0        0      639        0      639        0
  216.000        0        0        0        0        0      639        0      639        0
  217.000        7        0        7        0        0      646        0      646        0
  218.000        2        0        2        0        0      648        0      648        0
  219.000       11        0       11        0        0      659        0      659        0
  220.000        4        0        4        0        0      663        0      663        0
  221.000        0        0        0        0        0      663        0      663        0
  222.000        4        0        4        0        0      667        0      667        0
  223.000        8        0        8        0        0      675        0      675        0
  224.000       13        0       13        0        0      688        0      688        0
  225.000        2        0        2        0        0      690        0      690        0
  226.000        3        0        3        0        0      693        0      693        0
  227.000        0        0        0        0        0      693        0      693        0
  228.000        0        0        0        0        0      693        0      693        0
  229.000        0        0        0        0        0      693        0      693        0
  230.000        0        0        0        0        0      693        0      693        0
  231.000        8        0        8        0        0      701        0      701        0
  232.000        4        0        4        0        0      705        0      705        0
  233.000        1        0        1        0        0      706        0      706        0
  234.000        1        0        1        0        0      707        0      707        0
  235.000        6        0        6        0        0      713        0      713        0
  236.000        0        0        0        0        0      713        0      713        0
  237.000       16        0       16        0        0      729        0      729        0
  238.000       10        0       10        0        0      739        0      739        0
  239.000        5        0        5        0        0      744        0      744        0
  240.000        1        0        1        0        0      745        0      745        0
  241.000        4        0        4        0        0      749        0      749        0
  242.000        0        0        0        0        0      749        0      749        0
  243.000        0        0        0        0        0      749        0      749        0
  244.000        0        0        0        0        0      749        0      749        0
  245.000        1        0        1        0        0      750        0      750        0
  246.000        5        0        5        0        0      755        0      755        0
  247.000       14        0       14        0        0      769        0      769        0
  248.000       11        0       11        0        0      780        0      780        0
  249.000        3        0        3        0        0      783        0      783        0
  250.000        4        0        4        0        0      787        0      787        0
  251.000       10        0       10        0        0      797        0      797        0
  252.000        1        0        1        0        0      798        0      798        0
  253.000        1        0        1        0        0      799        0      799        0
  254.000       10        0       10        0        0      809        0      809        0
  255.000        5        0        5        0        0      814        0      814        0
  256.000        8        0        8        0        0      822        0      822        0
  257.000        0        0        0        0        0      822        0      822        0
  258.000        3        0        3        0        0      825        0      825        0
  259.000        4        0        4        0        0      829        0      829        0
  260.000        9        0        9        0        0      838        0      838        0
  261.000        2        0        2        0        0      840        0      840        0
  262.000        0        0        0        0        0      840        0      840        0
  263.000        0        0        0        0        0      840        0      840        0
  264.000        1        0        1        0        0      841        0      841        0
  265.000        7        0        7        0        0      848        0      848        0
  266.000        0        0        0        0        0      848        0      848        0
  267.000        1        0        1        0        0      849        0      849        0
  268.000        4        0        4        0        0      853        0      853        0
  269.000        1        0        1        0        0      854        0      854        0
  270.000        0        0        0        0        0      854        0      854        0
  271.000        0        0        0        0        0      854        0      854        0
  272.000        0        0        0        0        0      854        0      854        0
  273.000        0        0        0        0        0      854        0      854        0
  274.000       14        0       14        0        0      868        0      868        0
  275.000        4        0        4        0        0      872        0      872        0
