    Time      SRC      DST   Cookie                 SRCIP          DSTIP       SRCPort  DSTPort  Protocol  NumSwitches Active   InCache  Blocked  Direction  TimeCreated  TimeFinished      ExpBytes       Rate
  10.000       SW       HW 0x04003f2711753111       10.0.0.64       10.0.0.63    10001    30001    17        1           true    false     false    1                2.960         0.000         0        2000067
  10.000       SW       HW 0x0640632712753211       10.0.0.100       10.0.0.99    10002    30002    17        1           true    false     false    1                8.965         0.000         0        1980723
  10.000       SW       HW 0x0840832716753611       10.0.0.132       10.0.0.131    10006    30006    17        1           true    false     false    2                8.849         0.000         0        1959391
  10.000       SW       HW 0x0a009f2710753011       10.0.0.160       10.0.0.159    10000    30000    17        1           true    false     false    2                1.302         0.000         0        1957586
  10.000       SW       HW 0x0640632710753011       10.0.0.100       10.0.0.99    10000    30000    17        1           true    false     false    1                1.094         0.000         0        1940548
  10.000       SW       HW 0x0c80c72715753511       10.0.0.200       10.0.0.199    10005    30005    17        1           true    false     false    2                6.405         0.000         0        1831996
  10.000       SW       HW 0x0120112714753411       10.0.0.18       10.0.0.17    10004    30004    17        1           true    false     false    1                2.978         0.000         0        1828950
  10.000       SW       HW 0x0680672710753011       10.0.0.104       10.0.0.103    10000    30000    17        1           true    false     false    2                2.312         0.000         0        1820477
  10.000       SW       HW 0x09008f2710753011       10.0.0.144       10.0.0.143    10000    30000    17        1           true    false     false    2                5.979         0.000         0        1797545
  10.000       SW       HW 0x0a40a32712753211       10.0.0.164       10.0.0.163    10002    30002    17        1           true    false     false    2                9.722         0.000         0        1789930
  10.000       SW       HW 0x0640632713753311       10.0.0.100       10.0.0.99    10003    30003    17        1           true    false     false    1                9.385         0.000         0        1773804
  10.000       SW       HW 0x09e09d2712753211       10.0.0.158       10.0.0.157    10002    30002    17        1           true    false     false    2                3.463         0.000         0        1758915
  10.000       SW       HW 0x02c02b2710753011       10.0.0.44       10.0.0.43    10000    30000    17        1           true    false     false    1                3.936         0.000         0        1731864
  10.000       SW       HW 0x0460452710753011       10.0.0.70       10.0.0.69    10000    30000    17        1           true    false     false    1                2.031         0.000         0        1731810
  10.000       SW       HW 0x0480472710753011       10.0.0.72       10.0.0.71    10000    30000    17        1           true    false     false    1                1.738         0.000         0        1713050
  10.000       SW       HW 0x0360352711753111       10.0.0.54       10.0.0.53    10001    30001    17        1           true    false     false    1                4.425         0.000         0        1692421
  10.000       SW       HW 0x0740732713753311       10.0.0.116       10.0.0.115    10003    30003    17        1           true    false     false    2                5.572         0.000         0        1690019
  10.000       SW       HW 0x04a0492710753011       10.0.0.74       10.0.0.73    10000    30000    17        1           true    false     false    1                1.141         0.000         0        1685201
  10.000       SW       HW 0x0bc0bb2713753311       10.0.0.188       10.0.0.187    10003    30003    17        1           true    false     false    2                3.238         0.000         0        1676858
  10.000       SW       HW 0x02a0292712753211       10.0.0.42       10.0.0.41    10002    30002    17        1           true    false     false    1                3.602         0.000         0        1675651
  10.000       SW       HW 0x00a0092714753411       10.0.0.10       10.0.0.9    10004    30004    17        1           true    false     false    1                5.594         0.000         0        1668061
  10.000       SW       HW 0x05e05d2711753111       10.0.0.94       10.0.0.93    10001    30001    17        1           true    false     false    1                3.909         0.000         0        1664567
  10.000       SW       HW 0x0340332710753011       10.0.0.52       10.0.0.51    10000    30000    17        1           true    false     false    1                2.354         0.000         0        1636853
  10.000       SW       HW 0x0380372710753011       10.0.0.56       10.0.0.55    10000    30000    17        1           true    false     false    1                1.837         0.000         0        1632740
  10.000       SW       HW 0x05e05d2714753411       10.0.0.94       10.0.0.93    10004    30004    17        1           true    false     false    1                6.767         0.000         0        1624116
  10.000       SW       HW 0x0720712714753411       10.0.0.114       10.0.0.113    10004    30004    17        1           true    false     false    2                7.572         0.000         0        1603727
  10.000       SW       HW 0x0180172714753411       10.0.0.24       10.0.0.23    10004    30004    17        1           true    false     false    1                7.783         0.000         0        1602916
  10.000       SW       HW 0x09c09b2713753311       10.0.0.156       10.0.0.155    10003    30003    17        1           true    false     false    2                7.815         0.000         0        1598888
  10.000       SW       HW 0x01e01d2714753411       10.0.0.30       10.0.0.29    10004    30004    17        1           true    false     false    1                9.241         0.000         0        1598557
  10.000       SW       HW 0x0a60a52710753011       10.0.0.166       10.0.0.165    10000    30000    17        1           true    false     false    2                1.111         0.000         0        1595046
  10.000       SW       HW 0x04003f2715753511       10.0.0.64       10.0.0.63    10005    30005    17        1           true    false     false    1                6.468         0.000         0        1586327
  10.000       SW       HW 0x0aa0a92710753011       10.0.0.170       10.0.0.169    10000    30000    17        1           true    false     false    2                3.378         0.000         0        1551285
  10.000       SW       HW 0x0260252712753211       10.0.0.38       10.0.0.37    10002    30002    17        1           true    false     false    1                3.897         0.000         0        1548084
  10.000       SW       HW 0x00a0092715753511       10.0.0.10       10.0.0.9    10005    30005    17        1           true    false     false    1                9.521         0.000         0        1544164
  10.000       SW       HW 0x0a20a12716753611       10.0.0.162       10.0.0.161    10006    30006    17        1           true    false     false    2                7.836         0.000         0        1518772
  10.000       SW       HW 0x0940932713753311       10.0.0.148       10.0.0.147    10003    30003    17        1           true    false     false    2                8.928         0.000         0        1515456
  10.000       SW       HW 0x0ba0b92713753311       10.0.0.186       10.0.0.185    10003    30003    17        1           true    false     false    2                4.856         0.000         0        1504174
  10.000       SW       HW 0x07a0792712753211       10.0.0.122       10.0.0.121    10002    30002    17        1           true    false     false    2                9.217         0.000         0        1502058
  10.000       SW       HW 0x0040032710753011       10.0.0.4       10.0.0.3    10000    30000    17        1           true    false     false    1                2.518         0.000         0        1494454
  10.000       SW       HW 0x0120112713753311       10.0.0.18       10.0.0.17    10003    30003    17        1           true    false     false    1                2.588         0.000         0        1482523
  10.000       SW       HW 0x07a0792713753311       10.0.0.122       10.0.0.121    10003    30003    17        1           true    false     false    2                9.222         0.000         0        1480062
  10.000       SW       HW 0x0c40c32710753011       10.0.0.196       10.0.0.195    10000    30000    17        1           true    false     false    2                5.103         0.000         0        1461105
  10.000       SW       HW 0x04c04b2713753311       10.0.0.76       10.0.0.75    10003    30003    17        1           true    false     false    1                8.595         0.000         0        1442032
  10.000       SW       HW 0x0140132710753011       10.0.0.20       10.0.0.19    10000    30000    17        1           true    false     false    1                3.457         0.000         0        1438300
  10.000       SW       HW 0x06a0692715753511       10.0.0.106       10.0.0.105    10005    30005    17        1           true    false     false    2                8.713         0.000         0        1432166
  10.000       SW       HW 0x01000f2710753011       10.0.0.16       10.0.0.15    10000    30000    17        1           true    false     false    1                2.863         0.000         0        1429091
  10.000       SW       HW 0x008007271a753a11       10.0.0.8       10.0.0.7    10010    30010    17        1           true    false     false    1                9.796         0.000         0        1427694
  10.000       SW       HW 0x05004f2713753311       10.0.0.80       10.0.0.79    10003    30003    17        1           true    false     false    1                5.256         0.000         0        1426670
  10.000       SW       HW 0x09008f2712753211       10.0.0.144       10.0.0.143    10002    30002    17        1           true    false     false    2                7.501         0.000         0        1421717
  10.000       SW       HW 0x0580572710753011       10.0.0.88       10.0.0.87    10000    30000    17        1           true    false     false    1                1.800         0.000         0        1419941
  10.000       SW       HW 0x04a0492713753311       10.0.0.74       10.0.0.73    10003    30003    17        1           true    false     false    1                6.509         0.000         0        1407191
  10.000       SW       HW 0x0aa0a92711753111       10.0.0.170       10.0.0.169    10001    30001    17        1           true    false     false    2                3.529         0.000         0        1398199
  10.000       SW       HW 0x05e05d2712753211       10.0.0.94       10.0.0.93    10002    30002    17        1           true    false     false    1                4.213         0.000         0        1395876
  10.000       SW       HW 0x07c07b2710753011       10.0.0.124       10.0.0.123    10000    30000    17        1           true    false     false    2                1.985         0.000         0        1393699
  10.000       SW       HW 0x0340332715753511       10.0.0.52       10.0.0.51    10005    30005    17        1           true    false     false    1                8.784         0.000         0        1386810
  10.000       SW       HW 0x0b00af2713753311       10.0.0.176       10.0.0.175    10003    30003    17        1           true    false     false    2                7.306         0.000         0        1386520
  10.000       SW       HW 0x0960952713753311       10.0.0.150       10.0.0.149    10003    30003    17        1           true    false     false    2                8.568         0.000         0        1380093
  10.000       SW       HW 0x00c00b2713753311       10.0.0.12       10.0.0.11    10003    30003    17        1           true    false     false    1                8.334         0.000         0        1375749
  10.000       SW       HW 0x0280272714753411       10.0.0.40       10.0.0.39    10004    30004    17        1           true    false     false    1                6.672         0.000         0        1373835
  10.000       SW       HW 0x05a0592713753311       10.0.0.90       10.0.0.89    10003    30003    17        1           true    false     false    1                3.717         0.000         0        1372456
  10.000       SW       HW 0x0840832713753311       10.0.0.132       10.0.0.131    10003    30003    17        1           true    false     false    2                6.245         0.000         0        1369458
  10.000       SW       HW 0x08c08b2710753011       10.0.0.140       10.0.0.139    10000    30000    17        1           true    false     false    2                4.662         0.000         0        1367687
  10.000       SW       HW 0x01a0192714753411       10.0.0.26       10.0.0.25    10004    30004    17        1           true    false     false    1                6.203         0.000         0        1363907
  10.000       SW       HW 0x04003f2712753211       10.0.0.64       10.0.0.63    10002    30002    17        1           true    false     false    1                4.635         0.000         0        1351916
  10.000       SW       HW 0x0960952712753211       10.0.0.150       10.0.0.149    10002    30002    17        1           true    false     false    2                7.406         0.000         0        1346471
  10.000       SW       HW 0x05c05b2710753011       10.0.0.92       10.0.0.91    10000    30000    17        1           true    false     false    1                1.876         0.000         0        1342025
  10.000       SW       HW 0x0680672713753311       10.0.0.104       10.0.0.103    10003    30003    17        1           true    false     false    2                6.940         0.000         0        1339675
  10.000       SW       HW 0x0720712711753111       10.0.0.114       10.0.0.113    10001    30001    17        1           true    false     false    2                3.402         0.000         0        1330805
  10.000       SW       HW 0x03a0392710753011       10.0.0.58       10.0.0.57    10000    30000    17        1           true    false     false    1                1.503         0.000         0        1330289
  10.000       SW       HW 0x0b80b72716753611       10.0.0.184       10.0.0.183    10006    30006    17        1           true    false     false    2                8.711         0.000         0        1326954
  10.000       SW       HW 0x03a0392715753511       10.0.0.58       10.0.0.57    10005    30005    17        1           true    false     false    1                8.224         0.000         0        1318212
  10.000       SW       HW 0x0320312711753111       10.0.0.50       10.0.0.49    10001    30001    17        1           true    false     false    1                4.922         0.000         0        1311219
  10.000       SW       HW 0x0c80c72710753011       10.0.0.200       10.0.0.199    10000    30000    17        1           true    false     false    2                2.650         0.000         0        1305213
  10.000       SW       HW 0x09a0992712753211       10.0.0.154       10.0.0.153    10002    30002    17        1           true    false     false    2                9.368         0.000         0        1304700
  10.000       SW       HW 0x03c03b2712753211       10.0.0.60       10.0.0.59    10002    30002    17        1           true    false     false    1                5.646         0.000         0        1289710
  10.000       SW       HW 0x0220212711753111       10.0.0.34       10.0.0.33    10001    30001    17        1           true    false     false    1                8.885         0.000         0        1283360
  10.000       SW       HW 0x04003f2716753611       10.0.0.64       10.0.0.63    10006    30006    17        1           true    false     false    1                9.381         0.000         0        1274165
  10.000       SW       HW 0x0280272711753111       10.0.0.40       10.0.0.39    10001    30001    17        1           true    false     false    1                5.118         0.000         0        1264464
  10.000       SW       HW 0x0920912715753511       10.0.0.146       10.0.0.145    10005    30005    17        1           true    false     false    2                8.189         0.000         0        1258896
  10.000       SW       HW 0x04e04d2710753011       10.0.0.78       10.0.0.77    10000    30000    17        1           true    false     false    1                2.813         0.000         0        1246972
  10.000       SW       HW 0x06a0692714753411       10.0.0.106       10.0.0.105    10004    30004    17        1           true    false     false    2                8.082         0.000         0        1239450
  10.000       SW       HW 0x0740732710753011       10.0.0.116       10.0.0.115    10000    30000    17        1           true    false     false    2                1.486         0.000         0        1225065
  10.000       SW       HW 0x0aa0a92713753311       10.0.0.170       10.0.0.169    10003    30003    17        1           true    false     false    2                6.531         0.000         0        1223523
  10.000       SW       HW 0x09c09b2712753211       10.0.0.156       10.0.0.155    10002    30002    17        1           true    false     false    2                7.206         0.000         0        1219909
  10.000       SW       HW 0x08007f2711753111       10.0.0.128       10.0.0.127    10001    30001    17        1           true    false     false    2                4.126         0.000         0        1212057
  10.000       SW       HW 0x0080072714753411       10.0.0.8       10.0.0.7    10004    30004    17        1           true    false     false    1                4.744         0.000         0        1211303
  10.000       SW       HW 0x0b80b72712753211       10.0.0.184       10.0.0.183    10002    30002    17        1           true    false     false    2                6.157         0.000         0        1208584
  10.000       SW       HW 0x05a0592715753511       10.0.0.90       10.0.0.89    10005    30005    17        1           true    false     false    1                9.377         0.000         0        1206056
  10.000       SW       HW 0x0720712713753311       10.0.0.114       10.0.0.113    10003    30003    17        1           true    false     false    2                5.230         0.000         0        1200158
  10.000       SW       HW 0x0260252715753511       10.0.0.38       10.0.0.37    10005    30005    17        1           true    false     false    1                7.012         0.000         0        1197574
  10.000       SW       HW 0x08a0892712753211       10.0.0.138       10.0.0.137    10002    30002    17        1           true    false     false    2                6.849         0.000         0        1196880
  10.000       SW       HW 0x08007f2714753411       10.0.0.128       10.0.0.127    10004    30004    17        1           true    false     false    2                8.294         0.000         0        1173307
  10.000       SW       HW 0x05a0592714753411       10.0.0.90       10.0.0.89    10004    30004    17        1           true    false     false    1                8.137         0.000         0        1172073
  10.000       SW       HW 0x08e08d2711753111       10.0.0.142       10.0.0.141    10001    30001    17        1           true    false     false    2                4.820         0.000         0        1168370
  10.000       SW       HW 0x0980972711753111       10.0.0.152       10.0.0.151    10001    30001    17        1           true    false     false    2                3.883         0.000         0        1165734
  10.000       SW       HW 0x07006f2710753011       10.0.0.112       10.0.0.111    10000    30000    17        1           true    false     false    2                1.208         0.000         0        1165632
  10.000       SW       HW 0x00a0092713753311       10.0.0.10       10.0.0.9    10003    30003    17        1           true    false     false    1                4.981         0.000         0        1152682
  10.000       SW       HW 0x09e09d2711753111       10.0.0.158       10.0.0.157    10001    30001    17        1           true    false     false    2                3.425         0.000         0        1149113
  10.000       SW       HW 0x0840832714753411       10.0.0.132       10.0.0.131    10004    30004    17        1           true    false     false    2                6.480         0.000         0        1140440
  10.000       SW       HW 0x07c07b2715753511       10.0.0.124       10.0.0.123    10005    30005    17        1           true    false     false    2                9.058         0.000         0        1133373
