   Time:s   IReque   IAccep   IBlock   IRelea    #Actv   TReque   TAccep   TBlock   TRelea
  219.000        6        0        6        0        0      901        0      901        0
  220.000       12        0       12        0        0      913        0      913        0
  221.000        4        0        4        0        0      917        0      917        0
  222.000        5        0        5        0        0      922        0      922        0
  223.000        0        0        0        0        0      922        0      922        0
  224.000        0        0        0        0        0      922        0      922        0
  225.000        7        0        7        0        0      929        0      929        0
  226.000        1        0        1        0        0      930        0      930        0
  227.000        6        0        6        0        0      936        0      936        0
  228.000        5        0        5        0        0      941        0      941        0
  229.000        8        0        8        0        0      949        0      949        0
  230.000        7        0        7        0        0      956        0      956        0
  231.000       10        0       10        0        0      966        0      966        0
  232.000        8        0        8        0        0      974        0      974        0
  233.000        6        0        6        0        0      980        0      980        0
  234.000        8        0        8        0        0      988        0      988        0
  235.000        5        0        5        0        0      993        0      993        0
  236.000        3        0        3        0        0      996        0      996        0
  237.000       12        0       12        0        0     1008        0     1008        0
  238.000        6        0        6        0        0     1014        0     1014        0
  239.000        8        0        8        0        0     1022        0     1022        0
  240.000        4        0        4        0        0     1026        0     1026        0
  241.000        7        0        7        0        0     1033        0     1033        0
  242.000        8        0        8        0        0     1041        0     1041        0
  243.000        7        0        7        0        0     1048        0     1048        0
  244.000        7        0        7        0        0     1055        0     1055        0
  245.000        3        0        3        0        0     1058        0     1058        0
  246.000        7        0        7        0        0     1065        0     1065        0
  247.000        5        0        5        0        0     1070        0     1070        0
  248.000        4        0        4        0        0     1074        0     1074        0
  249.000        6        0        6        0        0     1080        0     1080        0
  250.000        4        0        4        0        0     1084        0     1084        0
  251.000        8        0        8        0        0     1092        0     1092        0
  252.000        3        0        3        0        0     1095        0     1095        0
  253.000        0        0        0        0        0     1095        0     1095        0
  254.000        9        0        9        0        0     1104        0     1104        0
  255.000        7        0        7        0        0     1111        0     1111        0
  256.000        9        0        9        0        0     1120        0     1120        0
  257.000        2        0        2        0        0     1122        0     1122        0
  258.000        1        0        1        0        0     1123        0     1123        0
  259.000        8        0        8        0        0     1131        0     1131        0
  260.000        5        0        5        0        0     1136        0     1136        0
  261.000        6        0        6        0        0     1142        0     1142        0
  262.000        8        0        8        0        0     1150        0     1150        0
  263.000        6        0        6        0        0     1156        0     1156        0
  264.000        9        0        9        0        0     1165        0     1165        0
  265.000        7        0        7        0        0     1172        0     1172        0
  266.000        8        0        8        0        0     1180        0     1180        0
  267.000        4        0        4        0        0     1184        0     1184        0
  268.000        5        0        5        0        0     1189        0     1189        0
  269.000        4        0        4        0        0     1193        0     1193        0
  270.000        3        0        3        0        0     1196        0     1196        0
  271.000        4        0        4        0        0     1200        0     1200        0
  272.000        8        0        8        0        0     1208        0     1208        0
  273.000        7        0        7        0        0     1215        0     1215        0
  274.000        5        0        5        0        0     1220        0     1220        0
  275.000        6        0        6        0        0     1226        0     1226        0
