Tempo Switch RegrasInstaladas RegrasAceitas VezesBloqueado BytesEnviados
600 HW 138 3434 0 24097884048
603 SW 171 3335 0 1408772736
604 HW 133 3434 0 24192562464
607 SW 185 3358 0 1427046768
608 HW 187 3510 0 24279860808
611 SW 159 3380 0 1427046768
612 HW 135 3510 0 24368656032
615 SW 167 3403 0 1427046768
616 HW 128 3510 0 24450536880
619 SW 189 3434 0 1447845840
620 HW 178 3590 0 24523326072
623 SW 164 3461 0 1447845840
624 HW 128 3590 0 24601278744
627 SW 162 3485 0 1447845840
628 HW 122 3590 0 24681302856
632 SW 176 3508 0 1484185248
632 HW 181 3671 0 24744676824
636 SW 155 3532 0 1484185248
636 HW 127 3671 0 24798812472
640 SW 155 3552 0 1484185248
640 HW 119 3671 0 24859930536
644 SW 175 3577 0 1538447904
644 HW 178 3756 0 24912508824
648 SW 163 3605 0 1538447904
649 HW 127 3756 0 24969996576
652 SW 160 3630 0 1538447904
653 HW 124 3756 0 25039707336
656 SW 175 3652 0 1574043408
657 HW 159 3838 0 25112327184
660 SW 150 3675 0 1574043408
661 HW 126 3838 0 25182195192
664 SW 148 3701 0 1574043408
665 HW 121 3838 0 25263498456
668 SW 160 3723 0 1623773088
669 HW 132 3880 0 25351180848
673 SW 144 3753 0 1623773088
673 HW 136 3919 0 25431908040
677 SW 150 3779 0 1623773088
677 HW 133 3919 0 25519132296
681 SW 156 3792 0 1650771360
681 HW 128 3919 0 25614828288
685 SW 137 3819 0 1650771360
685 HW 130 3991 0 25711236432
689 SW 136 3846 0 1650771360
689 HW 119 3991 0 25811296056
693 SW 143 3864 0 1756318032
693 HW 116 3991 0 25922571696
697 SW 115 3877 0 1756318032
697 HW 147 4075 0 26037594072
701 SW 119 3898 0 1756318032
702 HW 140 4075 0 26165631744
705 SW 139 3924 0 1780396632
706 HW 131 4075 0 26297833464
709 SW 123 3942 0 1780396632
710 HW 129 4144 0 26430614280
713 SW 117 3965 0 1780396632
714 HW 124 4144 0 26575111584
718 SW 134 3984 0 1880474400
718 HW 112 4144 0 26700167592
722 SW 116 4007 0 1880474400
722 HW 146 4231 0 26837343792
726 SW 122 4028 0 1880474400
726 HW 138 4231 0 26989428312
730 SW 136 4051 0 1895499144
730 HW 131 4231 0 27153499968
734 SW 122 4069 0 1895499144
734 HW 134 4300 0 27309388680
738 SW 102 4088 0 1895499144
738 HW 125 4300 0 27470566368
742 SW 125 4113 0 1955579976
742 HW 117 4300 0 27635309352
746 SW 106 4132 0 1955579976
746 HW 143 4383 0 27800005464
750 SW 112 4157 0 1955579976
750 HW 138 4383 0 27982789632
754 SW 127 4175 0 1973906928
754 HW 132 4383 0 28167728400
758 SW 124 4201 0 1973906928
759 HW 129 4451 0 28346393880
763 SW 109 4221 0 1973906928
763 HW 123 4451 0 28531346256
767 SW 125 4240 0 2032310952
767 HW 116 4451 0 28695106440
771 SW 119 4266 0 2032310952
771 HW 150 4535 0 28859442696
775 SW 122 4289 0 2032310952
775 HW 144 4535 0 29037997800
779 SW 134 4306 0 2045179584
779 HW 140 4535 0 29222853408
783 SW 132 4335 0 2045179584
783 HW 135 4595 0 29375840592
787 SW 126 4361 0 2045179584
787 HW 126 4595 0 29539694520
791 HW 122 4595 0 29715452424
791 SW 147 4387 0 2061732960
795 HW 158 4673 0 29882337912
