Tempo Switch RegrasInstaladas RegrasAceitas RegrasBloqueadas BytesEnviados
570 SW 146 1600 0 62872155106
574 HW 140 1542 0 58947996480
574 SW 141 1615 0 63485848690
578 HW 145 1556 0 59482048488
578 SW 148 1633 0 64127357026
582 HW 119 1562 0 59992508760
582 SW 144 1646 0 64762306306
586 HW 118 1571 0 60430337088
586 SW 134 1660 0 65296635010
590 HW 123 1588 0 60866780424
590 SW 137 1677 0 65831954074
594 HW 131 1600 0 61339800552
594 SW 140 1690 0 66349879090
598 HW 134 1612 0 61819518840
599 SW 132 1704 0 66779949346
602 HW 142 1629 0 62337667632
603 SW 132 1720 0 67198424074
606 HW 135 1640 0 62865198384
607 SW 130 1730 0 67634707138
611 HW 137 1652 0 63398746896
611 SW 122 1740 0 68079138370
615 HW 133 1662 0 63931430544
615 SW 123 1755 0 68519257378
619 HW 134 1679 0 64440505824
619 SW 119 1767 0 68964812026
623 HW 133 1692 0 64938684120
623 SW 125 1783 0 69413169922
627 HW 138 1707 0 65429710656
627 SW 119 1791 0 69790164442
631 HW 134 1717 0 65932086264
631 SW 116 1804 0 70136899306
635 HW 125 1730 0 66432322392
635 SW 114 1815 0 70462308922
639 HW 117 1740 0 66953635800
639 SW 106 1822 0 70819901458
643 HW 119 1754 0 67466377680
643 SW 112 1836 0 71162389114
647 HW 125 1768 0 68002073232
647 SW 108 1848 0 71505811186
651 HW 116 1777 0 68543407032
651 SW 120 1862 0 71883711394
655 HW 113 1786 0 69089128656
655 SW 129 1875 0 72258265546
659 HW 111 1798 0 69640597392
659 SW 118 1888 0 72628335106
663 HW 114 1811 0 70201866912
664 SW 119 1899 0 73022023618
667 HW 117 1825 0 70715116824
668 SW 116 1912 0 73418339986
671 HW 118 1839 0 71212998768
672 SW 114 1924 0 73781327338
675 HW 119 1850 0 71701170648
676 SW 118 1938 0 74143591954
680 HW 116 1859 0 72172603176
680 SW 107 1943 0 74511745810
684 HW 114 1871 0 72615859584
684 SW 113 1957 0 74890796650
688 HW 108 1885 0 73029098256
688 SW 115 1973 0 75273731818
692 HW 109 1895 0 73469729832
692 SW 108 1980 0 75673670938
696 HW 106 1903 0 73921011936
696 SW 113 1987 0 76088953834
700 HW 104 1912 0 74362088040
700 SW 97 1991 0 76450389874
704 HW 99 1924 0 74771136960
704 SW 96 2004 0 76812318826
708 HW 103 1937 0 75184910880
708 SW 104 2016 0 77200706266
712 HW 111 1949 0 75629735232
712 SW 110 2026 0 77622377362
716 HW 101 1956 0 76064953848
716 SW 113 2039 0 78049494682
720 HW 94 1965 0 76471828512
720 SW 111 2049 0 78497863162
724 HW 93 1974 0 76856807904
724 SW 116 2060 0 78970069834
728 HW 83 1982 0 77219710584
728 SW 116 2074 0 79434373282
732 HW 91 1990 0 77610683544
732 SW 116 2088 0 79890375850
736 HW 85 1994 0 77977615704
736 SW 115 2101 0 80344985866
740 HW 89 2006 0 78340008840
741 SW 115 2113 0 80806786954
745 HW 90 2015 0 78714972744
745 SW 108 2121 0 81240101962
749 HW 103 2032 0 79118738736
749 SW 96 2132 0 81613587130
753 HW 110 2044 0 79544248800
753 SW 88 2138 0 81977980642
757 HW 105 2052 0 79933371072
757 SW 92 2152 0 82351704706
761 HW 107 2064 0 80305676880
761 SW 100 2164 0 82748476186
765 HW 108 2080 0 80624740632
765 SW 101 2171 0 83154169978
769 HW 108 2091 0 80960802288
769 SW 104 2180 0 83538946762
773 HW 111 2102 0 81326295024
773 SW 105 2195 0 83884993666
777 HW 113 2108 0 81722683968
777 SW 109 2203 0 84264225946
781 HW 104 2121 0 82106747088
781 SW 118 2218 0 84635453698
785 HW 106 2135 0 82518299880
785 SW 121 2231 0 85028868538
789 HW 111 2144 0 82961306808
789 SW 124 2246 0 85437064690
793 HW 118 2158 0 83385815928
793 SW 126 2256 0 85872493474
797 HW 112 2168 0 83802377976
797 SW 118 2266 0 86235479314
801 HW 113 2176 0 84246747216
801 SW 119 2279 0 86601457402
805 HW 114 2185 0 84717154608
805 SW 113 2291 0 86954453458
810 HW 103 2192 0 85139973312
810 SW 121 2303 0 87325384858
814 HW 106 2205 0 85559509464
814 SW 121 2320 0 87695469538
818 HW 110 2219 0 85991834112
818 SW 123 2333 0 88042544602
822 HW 114 2229 0 86458088040
822 SW 116 2346 0 88373755762
826 HW 123 2246 0 86935427952
826 SW 125 2363 0 88730276290
830 HW 122 2257 0 87422653320
830 SW 118 2375 0 89051341930
834 HW 121 2269 0 87908418096
834 SW 115 2387 0 89367537418
838 HW 121 2280 0 88423164888
838 SW 115 2397 0 89681623666
842 HW 124 2289 0 88959754032
842 SW 114 2408 0 89965462354
846 HW 131 2305 0 89504258496
846 SW 117 2421 0 90266676946
850 HW 130 2319 0 90049714008
850 SW 120 2436 0 90574337194
854 HW 131 2330 0 90609964440
854 SW 117 2447 0 90899078506
858 HW 135 2350 0 91118803848
858 SW 120 2458 0 91244481298
862 SW 122 2468 0 91611490570
862 HW 136 2361 0 91647380904
866 SW 126 2485 0 92001970618
866 HW 136 2373 0 92183418168
870 SW 133 2501 0 92412241234
871 HW 140 2390 0 92713124688
875 SW 140 2516 0 92843171818
875 HW 120 2397 0 93165424368
879 SW 146 2534 0 93263548642
879 HW 123 2408 0 93626593440
883 SW 141 2543 0 93705556138
883 HW 126 2421 0 94113696336
887 HW 118 2427 0 94576823448
887 SW 129 2554 0 94153560226
891 HW 117 2430 0 95066412072
891 SW 112 2558 0 94586906986
895 HW 115 2438 0 95585274528
895 SW 107 2567 0 95000289298
899 HW 102 2441 0 96082344528
899 SW 102 2572 0 95432065090
903 HW 104 2453 0 96583882488
903 SW 95 2583 0 95865714250
907 HW 99 2458 0 97084118616
907 SW 86 2586 0 96277448482
911 SW 72 2588 0 96650489122
911 HW 91 2462 0 97587489120
915 SW 68 2592 0 97027905490
915 HW 82 2467 0 98032023168
919 SW 53 2595 0 97350316810
919 HW 64 2471 0 98432554992
923 SW 49 2599 0 97642403458
923 HW 66 2477 0 98792513808
927 SW 50 2602 0 97928082250
927 HW 58 2479 0 99105379872
931 SW 46 2608 0 98205963658
931 HW 54 2485 0 99385582200
935 SW 43 2609 0 98474767018
935 HW 45 2486 0 99635532432
939 SW 38 2612 0 98723525794
939 HW 36 2487 0 99850522200
944 HW 36 2489 0 100051906992
944 SW 34 2614 0 98949167602
948 HW 26 2491 0 100152961512
948 SW 31 2619 0 99165663322
952 HW 28 2495 0 100249251720
952 SW 32 2622 0 99383485066
956 HW 28 2497 0 100326174720
956 SW 27 2625 0 99535899202
960 HW 26 2499 0 100383585360
960 SW 26 2626 0 99664895482
964 SW 20 2628 0 99722209354
964 HW 23 2500 0 100438638792
968 HW 13 2500 0 100470858000
968 SW 11 2629 0 99762758170
972 SW 10 2630 0 99779222338
972 HW 13 2502 0 100502419488
976 SW 10 2632 0 99785689162
976 HW 10 2503 0 100523440824
980 SW 8 2632 0 99792155986
980 HW 8 2503 0 100541595408
984 SW 6 2632 0 99795001570
984 HW 8 2503 0 100559749992
988 SW 4 2632 0 99795001570
988 HW 4 2503 0 100568377464
992 SW 2 2632 0 99795001570
992 HW 2 2503 0 100568377464
996 SW 2 2632 0 99795001570
996 HW 2 2503 0 100568377464
