    Time      SRC      DST   Cookie                 SRCIP          DSTIP       SRCPort  DSTPort  Protocol  NumSwitches Active   InCache  Blocked  Direction  TimeCreated  TimeFinished      ExpBytes       Rate
  10.000       SW       HW 0x0140132713753311       10.0.0.20       10.0.0.19    10003    30003    17        1           true    false     false    1                6.083         0.000         0        1597579
  10.000       SW       HW 0x02e02d2712753211       10.0.0.46       10.0.0.45    10002    30002    17        1           true    false     false    1                9.213         0.000         0        1587849
  10.000       SW       HW 0x02c02b2711753111       10.0.0.44       10.0.0.43    10001    30001    17        1           true    false     false    1                5.119         0.000         0        1587620
  10.000       SW       HW 0x0060052710753011       10.0.0.6       10.0.0.5    10000    30000    17        1           true    false     false    1                3.494         0.000         0        1578869
  10.000       SW       HW 0x07006f2712753211       10.0.0.112       10.0.0.111    10002    30002    17        1           true    false     false    2                4.618         0.000         0        1575086
  10.000       SW       HW 0x07e07d2711753111       10.0.0.126       10.0.0.125    10001    30001    17        1           true    false     false    2                3.231         0.000         0        1539008
  10.000       SW       HW 0x0320312715753511       10.0.0.50       10.0.0.49    10005    30005    17        1           true    false     false    1                8.844         0.000         0        1531508
  10.000       SW       HW 0x01000f2710753011       10.0.0.16       10.0.0.15    10000    30000    17        1           true    false     false    1                4.030         0.000         0        1525550
  10.000       SW       HW 0x0040032711753111       10.0.0.4       10.0.0.3    10001    30001    17        1           true    false     false    1                4.457         0.000         0        1503040
  10.000       SW       HW 0x0380372712753211       10.0.0.56       10.0.0.55    10002    30002    17        1           true    false     false    1                4.038         0.000         0        1482955
  10.000       SW       HW 0x0660652711753111       10.0.0.102       10.0.0.101    10001    30001    17        1           true    false     false    2                7.578         0.000         0        1467092
  10.000       SW       HW 0x07a0792717753711       10.0.0.122       10.0.0.121    10007    30007    17        1           true    false     false    2                9.851         0.000         0        1464374
  10.000       SW       HW 0x04e04d2711753111       10.0.0.78       10.0.0.77    10001    30001    17        1           true    false     false    2                3.455         0.000         0        1458322
  10.000       SW       HW 0x06005f2717753711       10.0.0.96       10.0.0.95    10007    30007    17        1           true    false     false    2                5.356         0.000         0        1449317
  10.000       SW       HW 0x0960952713753311       10.0.0.150       10.0.0.149    10003    30003    17        1           true    false     false    2                7.650         0.000         0        1424332
  10.000       SW       HW 0x0180172710753011       10.0.0.24       10.0.0.23    10000    30000    17        1           true    false     false    1                2.333         0.000         0        1398310
  10.000       SW       HW 0x0960952710753011       10.0.0.150       10.0.0.149    10000    30000    17        1           true    false     false    2                6.223         0.000         0        1367741
